system:index,belongsTo,pointID,.geo
00000000000000009dd4_00000000000000004a1d,63232,6818875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ae1a_0000000000000000582b,63178,6778739,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000768_00000000000000000f89,63215,6819109,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005624_00000000000000001a9b,63372,6859238,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000093f2_0000000000000000146a,63005,6820343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000aee1_00000000000000004577,63317,6813844,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b468_00000000000000007900,63095,6821285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c873_0000000000000000377e,63392,6855982,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000de7a_0000000000000000701d,63270,6759527,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000a0e9_00000000000000007889,63387,6829383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e112_00000000000000004a1d,63232,6843963,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e33f_00000000000000001a9b,63372,6786131,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000054f4_0000000000000000694b,63375,6762300,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006653_00000000000000000424,63222,6766412,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007953_00000000000000004508,63368,6799809,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008db0_00000000000000005490,63432,6856393,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009457_00000000000000000fe3,63166,6882879,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e4ca_00000000000000000e29,63275,6858199,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000209c_00000000000000003e9a,63078,13273768,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002526_00000000000000004583,63061,13277024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003233_00000000000000005b8f,63033,13284709,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009434_0000000000000000146a,63005,6810041,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b558_0000000000000000001c,63187,6863913,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e647_00000000000000002e76,63362,6758094,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006da_00000000000000001a81,63291,6889728,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001f99_000000000000000078d3,63424,13273201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000276a_00000000000000002e76,63362,13278255,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000052af_00000000000000000035,63040,6775255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000543f_00000000000000004577,63317,10899109,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b419_00000000000000000d62,63453,6814811,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b9c6_0000000000000000736e,63461,10891561,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c870_0000000000000000377e,63392,6855976,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008fe_00000000000000005144,63133,6867248,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001f20_00000000000000005d86,63007,13272936,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000025d8_00000000000000008833,63180,13277411,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000320c_00000000000000007708,63148,13284632,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b3f1_00000000000000000c68,63255,6782803,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d488_0000000000000000637a,63074,6808052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e074_00000000000000005b8f,63033,6843960,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e4cf_00000000000000000e29,63275,6858292,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023e5_00000000000000003c5c,63201,13276491,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006317_00000000000000001910,63029,10905909,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007c76_00000000000000004577,63317,6862016,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000088d9_00000000000000002963,63295,10907340,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009ddc_00000000000000007be1,63458,10911800,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002b4d_000000000000000026c4,63332,13280679,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006855_000000000000000034c3,63149,6764073,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000775c_00000000000000007237,63051,6787665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008fb7_00000000000000003c5c,63201,6751497,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b5b2_00000000000000008833,63180,6770468,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b161_00000000000000004f4f,63322,6828512,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d0d2_00000000000000003e9a,63078,6831814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093_000000000000000081ce,63287,6882321,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005b85_00000000000000002e76,63362,6840684,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000031e2_000000000000000075fd,63306,13284557,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000aa2a_0000000000000000001c,63187,273911,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009523_0000000000000000082d,63143,6763274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008737_0000000000000000084f,63011,10903736,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d57c_0000000000000000582b,63178,6892958,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003219_0000000000000000212e,63030,13284659,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000039a5_00000000000000007889,63387,13288613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000df34_0000000000000000082d,63143,6819868,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005a26_00000000000000006b9e,63193,6816438,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006415_0000000000000000125f,63297,6828794,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000361e_0000000000000000082d,63143,13286820,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d4a_00000000000000005690,63240,13271860,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000095f5_00000000000000004577,63317,10898733,"{""type"":""MultiPoint"",""coordinates"":[]}"
